0013    0   99  100 8226.71 5589.69 2637.02 162.40  184  56.77  59.05
0019    0   99  100 9132.92 5658.85 3474.07 183.23  215  57.97 157.14
0025    0   99  100 9303.50 5680.87 3622.63 181.38  199  59.51 255.29
0031    0   99  100 9156.52 5732.34 3424.18 179.21  197  61.63 353.40
0037    0   99  100 8636.35 5722.70 2913.65 172.66  193  63.94 451.81
0012    0   99  100 9011.59 5683.77 3327.82 172.73  194 155.39  56.28
0018    0   99  100 9834.36 5723.53 4110.83 190.75  212 156.85 154.92
0024    0   99  100 10162.87 5764.24 4398.63 183.97  202 158.96 253.24
0030    0   99  100 10196.71 5772.03 4424.68 188.56  208 160.82 351.59
0036    0   99  100 9554.54 5802.90 3751.64 184.88  209 162.97 450.70
0011    0   99  100 9482.57 5818.21 3664.36 178.30  203 255.19  53.49
0017    0   99  100 10460.94 5812.28 4648.66 194.57  216 256.67 152.92
0023    0   99  100 10675.40 5833.11 4842.29 190.64  208 258.62 251.54
0028    0   99  100 10615.06 5832.03 4783.03 195.94  215 260.53 349.80
0035    0   99  100 9988.87 5864.95 4123.92 188.29  208 262.45 449.15
0010    0   99  100 9798.47 5964.23 3834.24 184.24  203 355.28  51.37
0016    0   99  100 10671.98 5854.67 4817.31 193.13  211 357.11 150.99
0022    0   99  100 10511.01 5882.48 4628.53 186.48  207 358.91 249.30
0029    0   99  100 10703.36 5914.38 4788.98 191.78  217 360.94 348.05
0034    0   99  100 10072.50 5897.78 4174.72 189.62  207 362.85 447.25
0009    0   99  100 9631.36 5911.63 3719.73 180.74  198 454.80  50.01
0015    0   99  100 10549.33 5915.82 4633.51 191.62  220 457.01 149.17
0021    0   99  100 10568.30 5908.18 4660.12 183.82  202 459.02 247.43
0027    0   99  100 10384.89 5899.11 4485.78 187.87  204 461.14 346.02
0033    0   99  100 9789.13 5936.87 3852.26 185.13  206 462.53 444.85
0008    0   99  100 9472.86 5991.61 3481.25 178.39  198 553.91  48.86
0014    0   99  100 10259.27 6015.46 4243.81 190.73  216 556.28 147.54
0020    0   99  100 10212.91 6023.50 4189.41 184.85  207 558.37 245.79
0026    0   99  100 10030.54 5995.29 4035.25 184.21  202 560.18 344.04
0032    0   99  100 9656.09 5961.19 3694.90 181.92  205 561.62 442.20
